id,vendor_name,product_name,category_key,compatibility_index,regulatory_status_key,source_date,source_urls
the_freebsd_project_freebsd,The FreeBSD Project,FreeBSD,guest_os,15,not_publicly_supported,2026-06-09,https://docs.xenserver.com/en-us/xenserver/8/technical-overview/faq.html
microsoft_sql_server,Microsoft,SQL Server,database,58,partial,2024-06-13,https://learn.microsoft.com/en-us/troubleshoot/sql/database-engine/install/windows/support-policy-hardware-virtualization-product
microsoft_exchange_server,Microsoft,Exchange Server,collaboration,57,partial,2025-04-30,https://learn.microsoft.com/en-us/exchange/plan-and-deploy/virtualization
microsoft_sharepoint_server,Microsoft,SharePoint Server,collaboration,55,partial,2023-02-21,https://learn.microsoft.com/en-us/sharepoint/install/deploy-sharepoint-virtual-machines
oracle_oracle_database,Oracle,Oracle Database,database,42,not_publicly_supported,n.d.,https://www.oracle.com/sa/database/technologies/virtualization-matrix.html
oracle_oracle_fusion_middleware_weblogic_server,Oracle,Oracle Fusion Middleware / WebLogic Server,middleware,35,not_publicly_supported,n.d.,https://www.oracle.com/middleware/technologies/ias/oracleas-supported-virtualization.html
sap_sap_hana_2_0,SAP,SAP HANA 2.0,database,30,not_publicly_supported,2025-04-22,https://help.sap.com/docs/SAP_HANA_PLATFORM/2c1988d620e04368aa4103bf26f17727/26b7cdd60114463eb4ccaf6462e5ea24.html | https://help.sap.com/doc/e9702d76c3284623b02de196c0e79e49/2.0.08/en-US/SAP_HANA_Server_Installation_Guide_en.pdf
sap_sap_business_one_version_for_sap_hana,SAP,SAP Business One version for SAP HANA,erp,55,partial,2024-11-26,https://help.sap.com/doc/6a90565bcc3146ec8cd5768409f84fc6/10.0/en-US/Hardware_Requirements_Guide_for_SAP_Business_One.pdf
zabbix_zabbix_xen_integration,Zabbix,Zabbix Xen integration,monitoring,80,supported,n.d.,https://www.zabbix.com/integrations/xen
paessler_prtg_xenserver_host_vm_sensors,Paessler,PRTG XenServer Host/VM sensors,monitoring,78,partial,2025-06-10,https://www.paessler.com/manuals/prtg/citrix_xenserver_host_sensor | https://helpdesk.paessler.com/en/support/solutions/articles/76000072306-xenserver-pool-support
manageengine_opmanager_xenserver_monitoring,ManageEngine,OpManager XenServer monitoring,monitoring,82,supported,n.d.,https://www.manageengine.com/network-monitoring/citrix-xenserver-monitoring.html
solarwinds_server_application_monitor_citrix_hypervisor_template,SolarWinds,Server & Application Monitor Citrix Hypervisor template,monitoring,60,legacy,n.d.,https://documentation.solarwinds.com/en/success_center/sam/content/sam-citrix-hypervisor.htm
fortinet_fortigate_vm,Fortinet,FortiGate-VM,virtual_appliance_network_security,95,supported,n.d.,https://docs.fortinet.com/document/fortigate-private-cloud/8.0.0/xen-administration-guide/123370/deploying-the-fortigate-vm-on-citrix-xen | https://www.fortinet.com/uk/products/private-cloud-security/fortigate-virtual-appliances
sophos_sophos_firewall_virtual,Sophos,Sophos Firewall Virtual,virtual_appliance_network_security,94,supported,2025-01-29,https://docs.sophos.com/nsg/sophos-firewall/21.5/Help/en-us/webhelp/onlinehelp/VirtualAndSoftwareAppliancesHelp/Citrix/CitrixInstall/ | https://www.sophos.com/en-us/support/downloads/firewall-installers
check_point_cloudguard_network_security_for_private_cloud_hypervisors,Check Point,CloudGuard Network Security for Private Cloud Hypervisors,virtual_appliance_network_security,20,not_publicly_supported,n.d.,https://www.checkpoint.com/support-services/hcl/
palo_alto_networks_vm_series_firewall,Palo Alto Networks,VM-Series Firewall,virtual_appliance_network_security,18,not_publicly_supported,2026-06-02,https://docs.paloaltonetworks.com/compatibility-matrix/reference/vm-series-firewalls/vms-series-hypervisor-support
cisco_secure_firewall_threat_defense_virtual,Cisco,Secure Firewall Threat Defense Virtual,virtual_appliance_network_security,18,not_publicly_supported,n.d.,https://www.cisco.com/c/en/us/products/collateral/security/firewalls/threat-defense-virtual-ds.html
f5_big_ip_virtual_edition,F5,BIG-IP Virtual Edition,virtual_appliance_network_security,40,legacy,n.d.,https://clouddocs.f5.com/cloud/public/v1/citrix/citrix_setup.html | https://clouddocs.f5.com/cloud/public/v1/matrix.html
